Collection_year,Region,Water_body,Sample_source,Seawater_freshwater,Seafood_type,Trophic_class,Trophic_level,log_weight,Wet_dry,Raw_cooked,log_mean_mehg,Precipitation_yearsum_mm,Ten_metre_wind_speed,Potential_evaporation_m,Surface_net_downward_shortwave_flux,log_hg_em_lag2,log_co2_em,log_ch4_em,Two_m_temperature_yearmax_runmean_K
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.362047729,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.362047729,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.464026135,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.617796667,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.230574696,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2010,East_China,River,Wild,Freshwater,Finfish,Omnivore,2,2.973127854,Wet,Raw,0.362047729,1825.832203,2.10256958,-0.003259039,11619633,2.694785523,3.738543515,2.40569802,307.3118286
2008,South_West_China,River,Wild,Freshwater,Finfish,Carnivore,3.5,2.529729142,Wet,Raw,2.161158588,1466.512419,1.281373382,-0.002274941,10301196,2.670956351,3.405279769,2.358707519,302.6139221
2008,South_West_China,River,Wild,Freshwater,Finfish,Carnivore,3.6,2.452246575,Wet,Raw,2.14528078,1466.512419,1.281373382,-0.002274941,10301196,2.670956351,3.405279769,2.358707519,302.6139221
2008,South_West_China,River,Wild,Freshwater,Finfish,Carnivore,3.2,2.364884067,Wet,Raw,2.298721461,1466.512419,1.281373382,-0.002274941,10301196,2.670956351,3.405279769,2.358707519,302.6139221
2008,South_West_China,River,Wild,Freshwater,Finfish,Omnivore,3.1,2.155114509,Wet,Raw,1.956504584,1466.512419,1.281373382,-0.002274941,10301196,2.670956351,3.405279769,2.358707519,302.6139221
