Collection_year,Water_body,Sample_source,Seawater_freshwater,Seafood_type,Trophic_class,Wet_dry,Raw_cooked,log_mean_mehg
2011,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.610933284
2011,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.759901586
2011,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.697341529
2011,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.610189577
2011,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.340075264
2011,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.610933284
2011,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.808213083
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.076531412
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.254597137
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.542092404
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.69425571
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.747394932
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.609444657
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.74073127
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.562369656
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.739611152
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.95374851
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.147321207
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.374998099
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.659529536
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.673997187
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.556547818
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.252973661
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.503347346
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.701017217
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.041742268
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.358516133
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.984025015
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.580198473
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.73340094
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.559051978
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.490956378
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.4177625
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.616839772
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.634114575
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.519967654
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.785456898
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.305172196
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.886521389
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.670096668
2012,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.736798785
2011,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.066858923
2011,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.338729142
2011,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.794308612
2011,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.130624991
2011,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.384853103
2011,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.305172196
2011,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.159454878
2011,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.396880326
2014,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.394261361
2014,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.471010324
2014,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.858304382
2014,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,2.197567235
2014,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,2.033386046
2014,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.251344396
2014,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,2.042146853
2014,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,2.061958355
2014,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,2.176503226
2014,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.402777286
2015,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.536558443
2015,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.702430536
2015,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.540314456
2015,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.665253505
2015,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.784729239
2015,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.741407686
2015,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.581707368
2015,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.182424089
2015,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.727543104
2015,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.969137442
2015,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.840680975
2015,Reservoir,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.078917883
2008,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.892980975
2008,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.779843104
2008,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.774679116
2008,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.959979948
2008,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.629143187
2008,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.71955115
2015,Reservoir,Farmed,Freshwater,Finfish,Omnivore,Wet,Raw,1.152288344
2015,Reservoir,Farmed,Freshwater,Finfish,Omnivore,Wet,Raw,0.977723605
2015,Reservoir,Farmed,Freshwater,Finfish,Omnivore,Wet,Raw,0.69019608
2015,Reservoir,Farmed,Freshwater,Finfish,Omnivore,Wet,Raw,0.230448921
2017,Reservoir,Farmed,Freshwater,Finfish,Omnivore,Wet,Raw,0.830588669
2017,Reservoir,Farmed,Freshwater,Finfish,Omnivore,Wet,Raw,0.633468456
2017,Reservoir,Farmed,Freshwater,Finfish,Omnivore,Wet,Raw,1.112939976
2017,Reservoir,Farmed,Freshwater,Finfish,Omnivore,Wet,Raw,0.243038049
2017,Reservoir,Farmed,Freshwater,Finfish,Omnivore,Wet,Raw,0.669316881
2017,Reservoir,Farmed,Freshwater,Finfish,Omnivore,Wet,Raw,0.698970004
2016,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.681241237
2016,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.380211242
2016,Lake,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.418301291
2013,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.436645228
2013,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.402777286
2013,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.956504584
2013,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,2.033386046
2013,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.436645228
2013,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.402777286
2013,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.892980975
2013,River,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.966852379
2017,Wetland,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.465850522
2017,Wetland,Wild,Freshwater,Finfish,Omnivore,Wet,Raw,0.372216437
