Sample_source,Seawater_freshwater,Seafood_type,Trophic_class,Wet_dry,Raw_cooked,MeHg_mean_ppb
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,32.28158705
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,41.45460141
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,50.0245359
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,48.6847182
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,41.24490341
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,60.87532931
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,46.08089422
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,51.22483537
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,63.15761904
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,80.32523084
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,62.58665631
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,77.22173177
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,55.96878468
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,15.26664832
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,32.53019485
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,24.30554645
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,9.749409021
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,19.89498368
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,14.56897126
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,29.95904703
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,51.1
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,53.57
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,12.61
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,49.07
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,69.2
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,30.93
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,51.1
Wild,Freshwater,Finfish,Carnivore,Wet,Raw,53.57
