Sample_source,Seawater_freshwater,Seafood_type,Trophic_class,Wet_dry,Raw_cooked,MeHg_mean_ppb
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.109874477
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.700492404
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,1.109874477
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,5.403179464
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,2.910892288
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,55.25941931
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,64.51468035
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,6.036705648
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,75.27617142
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,262.1181666
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,60.94658735
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,4.773331466
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,89.74341457
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,43.27416784
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,55.25941931
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,64.51468035
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,6.036705648
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,75.27617142
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,262.1181666
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,60.94658735
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,4.773331466
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,89.74341457
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,43.27416784
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,55.25941931
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,64.51468035
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,6.036705648
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,75.27617142
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,262.1181666
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,60.94658735
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,4.773331466
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,89.74341457
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,43.27416784
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,55.25941931
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,64.51468035
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,6.036705648
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,75.27617142
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,262.1181666
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,60.94658735
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,4.773331466
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,89.74341457
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,43.27416784
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,55.25941931
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,64.51468035
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,6.036705648
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,75.27617142
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,262.1181666
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,60.94658735
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,4.773331466
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,89.74341457
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,43.27416784
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,55.25941931
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,64.51468035
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,6.036705648
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,75.27617142
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,262.1181666
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,60.94658735
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,4.773331466
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,89.74341457
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,43.27416784
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,55.25941931
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,64.51468035
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,6.036705648
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,75.27617142
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,262.1181666
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,60.94658735
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,4.773331466
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,89.74341457
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,43.27416784
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,55.25941931
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,64.51468035
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,6.036705648
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,75.27617142
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,262.1181666
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,60.94658735
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,4.773331466
Wild,Freshwater,Finfish,Omnivore,Wet,Raw,89.74341457
