Collection_year,Water_body,Sample_source,Seawater_freshwater,Seafood_type,Trophic_class,Wet_dry,Raw_cooked,log_mean_mehg
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.626995925
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.53600467
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.801406454
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.76945611
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.482176871
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.702235906
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.815395128
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.465118607
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.857568563
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.566483168
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.672700709
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.315216734
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.617572744
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.789496774
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.614633775
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.617572744
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.679146628
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.762042143
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.702235906
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.508954878
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.617572744
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.699183068
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.687392661
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.615370291
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.784441324
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.663520898
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.709480571
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.800425749
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.904851982
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.79648175
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.887739537
2012,Reservoir,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.747945877
2015,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.183743701
2015,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.512286665
2015,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.38570539
2015,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,0.988978291
2015,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.298743587
2015,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.163428887
2015,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.476527995
2011,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,0.75735855
2011,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.239773954
2011,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.15745484
2011,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.542955498
2011,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.226181633
2011,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.231326244
2012,Pond,Farmed,Freshwater,Finfish,Carnivore,Wet,Raw,2.33243846
2014,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.82698101
2014,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.744685664
2014,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.671205199
2014,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.467870755
2014,River,Wild,Freshwater,Finfish,Carnivore,Wet,Raw,1.334530787
